"year","Geographical Area in Sq. Km.","Tree Cover Area in Sq. Km.","share_TreeCover",""
"2003","3287263","99896","3.04",""
"2005","3287263","91663","2.79",""
"2009","3287263","92769","2.82",""
"2011","3287263","90844","2.76",""
